Unit ID,,Fuel type,,Country/Area,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
L100000321006,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321014,,oil,,Canada,54.5340000,-110.3941000,,,,,,,,,,,,,,,,,,,,
L100000309306,,oil and gas,,Canada,55.6680000,-110.7500000,,,,,,,,,,,,,,,,,,,,
L100000309313,,oil and gas,,Canada,57.2220000,-111.0320000,,,,,,,,,,,,,,,,,,,,
L100000321011,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321019,,oil,,Canada,55.9984000,-113.4470000,,,,,,,,,,,,,,,,,,,,
L100000321042,,oil,,Canada,56.3137000,-116.6048000,,,,,,,,,,,,,,,,,,,,
L100000321020,,oil,,Canada,56.1231000,-111.7499000,,,,,,,,,,,,,,,,,,,,
L100000309324,,oil and gas,,Canada,53.6890000,-110.8740000,,,,,,,,,,,,,,,,,,,,
L100000309329,,oil,,Canada,56.2260000,-116.8030000,,,,,,,,,,,,,,,,,,,,
L100000321007,,oil,,Canada,55.6779000,-110.7372000,,,,,,,,,,,,,,,,,,,,
L100000309639,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321026,,oil,,Canada,55.9682000,-113.2379000,,,,,,,,,,,,,,,,,,,,
L100000309334,,oil,,Canada,53.7590000,-110.1190000,,,,,,,,,,,,,,,,,,,,
L100000309640,,oil and gas,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321013,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321041,,oil,,Canada,56.1402000,-116.6716000,,,,,,,,,,,,,,,,,,,,
L100000309345,,oil,,Canada,53.5480000,-110.8170000,,,,,,,,,,,,,,,,,,,,
L100000309587,,oil,,Canada,,,,,,,,,,,,,,,,,,,,,,
L100000321033,,oil,,Canada,56.2557000,-116.8217000,,,,,,,,,,,,,,,,,,,,
L100000309357,,oil and gas,,Canada,56.3990000,-112.8900000,,,,,,,,,,,,,,,,,,,,
